feature,ks_statistic,ks_p_value,psi,alert
OverallQual,0.4518,0.0,2.1873,True
GrLivArea,0.2062,0.0,0.2939,True
LotArea,0.2236,0.0,0.2433,True
TotRmsAbvGrd,0.0549,0.038418,0.0168,True
MoSold,0.0492,0.083244,0.0278,False
TotalBsmtSF,0.0407,0.224059,0.0211,False
MasVnrArea,0.0324,0.496152,0.0176,False
2ndFlrSF,0.0502,0.073001,0.0153,False
BsmtUnfSF,0.0276,0.69443,0.0137,False
GarageCars,0.0376,0.307932,0.0125,False
1stFlrSF,0.0304,0.573376,0.0121,False
GarageArea,0.039,0.267566,0.0121,False
GarageYrBlt,0.0301,0.620124,0.0111,False
YearRemodAdd,0.0341,0.424797,0.0093,False
LotFrontage,0.0385,0.392605,0.0089,False
BsmtFinSF1,0.0315,0.528211,0.0084,False
YrSold,0.0285,0.651581,0.0057,False
YearBuilt,0.0157,0.996263,0.005,False
BedroomAbvGr,0.0286,0.648056,0.0048,False
Fireplaces,0.032,0.505615,0.0042,False
OpenPorchSF,0.0198,0.955808,0.0042,False
MSSubClass,0.0209,0.932243,0.004,False
WoodDeckSF,0.0259,0.762742,0.0028,False
FullBath,0.012,0.999973,0.0025,False
OverallCond,0.0146,0.998713,0.0024,False
BsmtFinSF2,0.0167,0.99167,0.0003,False
EnclosedPorch,0.035,0.39113,0.0003,False
HalfBath,0.0063,1.0,0.0002,False
KitchenAbvGr,0.0032,1.0,0.0002,False
BsmtFullBath,0.0053,1.0,0.0001,False
LowQualFinSF,0.0084,1.0,0.0,False
BsmtHalfBath,0.0073,1.0,0.0,False
3SsnPorch,0.0096,1.0,0.0,False
ScreenPorch,0.0168,0.99094,0.0,False
PoolArea,0.0038,1.0,0.0,False
MiscVal,0.0041,1.0,0.0,False
