Age,MonthlyCharges,Tenure,SupportCalls,Churn
56,1032,67,1,0
69,1027,46,10,1
46,1372,24,9,0
32,1682,32,1,0
60,1782,47,4,0
25,1109,23,4,0
38,1879,66,5,0
56,1834,27,2,0
36,1048,2,7,1
40,717,17,0,0
28,1648,33,5,0
28,1657,9,3,1
41,1083,43,0,0
70,1063,48,6,0
53,1797,39,8,0
57,1895,42,3,0
41,1656,26,3,0
20,1536,50,5,0
39,1920,25,2,0
70,841,24,5,0
19,963,13,6,0
41,1691,60,10,0
61,1933,7,9,1
47,1809,57,9,0
55,1810,36,2,0
19,1536,45,6,0
38,1351,20,2,0
50,1504,65,1,0
29,1098,8,9,0
39,512,16,3,0
61,401,14,7,0
42,1041,15,8,1
66,619,66,6,1
44,1989,32,0,0
59,1254,63,2,0
45,1648,51,8,1
33,784,25,0,0
32,1826,58,8,0
64,1553,63,7,0
68,1476,62,0,0
61,1129,22,5,0
69,1839,58,4,0
20,646,58,5,0
54,1235,49,9,0
68,1862,52,4,0
24,602,42,5,0
38,1607,70,4,0
26,522,15,10,1
56,800,54,4,1
35,1166,60,3,0
21,693,8,2,0
42,679,53,2,0
31,1283,60,3,0
67,597,5,8,0
26,1381,68,1,0
43,1934,6,8,1
70,1151,47,0,0
19,543,55,0,0
37,1008,40,4,0
45,1624,52,5,0
64,1547,16,5,0
24,586,13,2,0
61,1749,30,6,1
25,863,19,8,1
64,1772,17,10,0
52,1059,63,9,1
31,1163,19,7,0
34,1354,58,5,0
53,802,55,7,0
67,1769,62,4,0
57,1934,23,7,1
21,546,9,9,0
19,1571,12,3,0
23,1263,1,9,1
59,888,58,7,0
21,1328,1,9,0
46,950,34,1,0
35,737,48,4,0
43,1271,1,8,0
61,1040,16,3,0
51,872,61,10,0
27,550,64,5,0
53,1838,63,0,0
31,1721,69,8,0
48,662,22,0,0
65,543,67,4,0
32,745,26,3,0
25,1023,16,2,0
31,1416,51,5,1
40,1995,57,1,0
57,1280,29,2,0
38,401,69,4,0
33,1296,47,8,1
62,1727,62,1,0
35,653,69,9,0
64,852,16,7,1
70,1460,48,1,0
41,1583,39,10,1
43,1414,33,4,0
42,408,23,6,0
62,1656,10,7,0
58,1522,69,0,0
46,1215,34,5,0
32,607,52,0,0
62,1554,10,1,0
18,803,19,0,0
42,551,58,10,0
24,453,1,4,0
26,1543,69,9,0
41,1027,4,8,0
18,986,16,5,0
61,1843,24,10,1
25,1845,2,10,1
41,503,32,0,0
28,653,24,0,0
68,1650,12,1,0
34,1535,50,8,0
25,909,35,2,0
52,1896,33,0,0
52,498,33,4,0
50,552,61,6,0
22,1313,51,5,0
59,1277,43,0,1
56,737,12,4,0
58,1221,67,4,0
45,1586,65,5,0
24,1356,33,2,0
26,560,40,4,0
25,1200,43,6,0
29,797,44,4,0
51,1700,29,4,0
50,1215,13,4,0
65,1927,12,9,0
40,1815,46,9,1
41,1558,2,2,1
54,1618,35,0,0
52,800,8,4,1
61,1039,26,8,1
57,1456,34,0,0
39,1087,7,2,0
44,859,68,3,0
52,1354,58,0,0
18,869,29,0,0
52,1798,36,7,0
54,1445,21,1,0
64,1149,36,7,0
31,437,10,6,0
20,629,24,9,0
18,1788,64,9,1
22,962,49,1,0
43,837,36,5,0
31,1706,24,5,0
56,426,23,2,1
44,625,62,10,0
26,1700,37,1,0
32,1197,12,0,0
32,683,55,5,0
43,1278,13,4,0
59,1359,23,10,1
30,1904,30,8,1
68,852,17,0,0
49,1419,62,6,0
56,1215,13,4,1
66,1058,59,4,0
69,1939,19,1,0
49,946,49,10,1
21,1615,12,2,0
47,1472,61,6,0
54,1935,19,5,1
40,416,9,1,0
56,1595,71,5,0
62,1643,28,1,0
32,557,52,1,0
60,876,16,1,0
46,1469,69,10,0
53,1796,12,2,1
30,917,25,1,0
49,498,52,3,0
24,1460,53,8,0
68,679,23,5,0
39,1772,16,0,0
45,896,57,7,0
19,701,39,6,0
59,580,53,9,1
62,1006,42,2,0
70,1522,58,0,0
23,1099,39,4,1
45,1392,14,3,0
45,1539,5,9,0
61,590,35,7,0
61,652,18,0,0
37,1380,9,9,0
47,1327,58,0,0
28,1584,17,3,0
45,1679,7,7,0
42,1746,46,4,0
56,527,13,1,0
50,417,40,5,0
18,965,42,4,0
44,969,9,1,0
