Id,Area,Bedrooms,Bathrooms,Floors,YearBuilt,Location,Condition,Garage,Price
1,1512,1,3,1,1994,Suburban,Poor,Yes,481142
2,860,1,1,1,1994,Rural,Fair,No,220193
3,4279,5,3,1,1990,Downtown,Good,No,1192634
4,2363,3,1,1,2004,Rural,Good,No,575906
5,955,6,4,3,1987,Downtown,Poor,No,724075
6,2175,6,1,1,2022,Suburban,Good,Yes,771087
7,1427,4,3,2,2020,Urban,Fair,No,676281
8,2316,6,3,3,2023,Rural,Fair,Yes,763637
9,4386,4,3,3,2024,Suburban,Good,Yes,1173591
10,862,3,4,2,1984,Suburban,Good,Yes,630025
11,3841,6,4,1,1996,Suburban,Fair,No,992100
12,3871,3,2,1,2012,Downtown,Poor,Yes,988866
13,1852,6,2,3,2007,Rural,Excellent,No,772088
14,4934,3,5,1,2023,Rural,Good,No,1091451
15,3004,4,2,2,1980,Urban,Fair,Yes,864497
16,4758,5,2,1,2003,Suburban,Poor,No,986352
17,759,1,3,2,1995,Rural,Fair,Yes,339081
18,4581,1,5,1,1988,Downtown,Fair,No,1182808
19,4066,2,5,3,2024,Suburban,Good,No,1116114
20,4188,5,4,1,1995,Suburban,Poor,No,902817
21,2485,5,2,1,1984,Rural,Fair,Yes,604042
22,3306,1,5,1,1997,Downtown,Fair,Yes,1051523
23,2590,4,4,1,1986,Rural,Excellent,No,808069
24,3967,4,1,3,2021,Rural,Poor,No,793688
25,1495,2,2,1,2014,Downtown,Fair,No,641425
26,2881,4,2,1,2008,Rural,Poor,Yes,613369
27,2536,2,4,2,2010,Suburban,Excellent,Yes,905099
28,3704,1,4,2,2009,Urban,Excellent,No,1066969
29,2155,3,2,1,2017,Rural,Good,Yes,618247
30,4505,5,5,1,1983,Rural,Fair,Yes,1005532
31,2526,4,1,3,1995,Rural,Poor,No,577592
32,3191,3,2,3,2000,Suburban,Good,No,848649
33,3057,4,3,1,1980,Downtown,Poor,Yes,906003
34,4744,3,2,2,1984,Suburban,Good,No,1028156
35,4189,5,3,3,2021,Rural,Good,Yes,1074006
36,2766,1,1,3,2015,Suburban,Good,No,730477
37,3408,2,3,3,2011,Urban,Poor,Yes,931678
38,2866,1,1,2,1988,Urban,Fair,No,711027
39,679,1,1,3,1989,Rural,Good,Yes,395388
40,1644,1,3,2,1982,Urban,Fair,Yes,604053
41,3497,5,4,3,1989,Suburban,Fair,Yes,1016705
42,803,2,3,2,2022,Suburban,Good,Yes,555803
43,3733,1,4,1,1992,Downtown,Good,No,1060316
44,2426,1,2,2,2001,Urban,Poor,No,627795
45,4773,4,5,2,1981,Rural,Good,Yes,1142880
46,913,1,5,2,2002,Urban,Excellent,Yes,769073
47,2157,3,1,3,2007,Rural,Fair,No,561496
48,1173,6,3,3,2000,Rural,Good,No,622413
49,3272,4,3,3,1988,Suburban,Excellent,No,981650
50,3065,4,5,1,1999,Urban,Fair,No,924262
51,4409,4,4,3,1993,Downtown,Fair,Yes,1281901
52,4822,6,5,2,1985,Suburban,Good,Yes,1276090
53,1807,1,1,1,2010,Rural,Excellent,No,513300
54,3745,4,4,1,1989,Rural,Poor,No,752308
55,2040,6,5,2,1983,Suburban,Poor,No,681677
56,4406,6,5,3,2018,Urban,Excellent,No,1407716
57,1903,6,4,2,1996,Suburban,Good,No,786293
58,2849,4,1,3,1998,Suburban,Good,No,811409
59,1260,2,2,1,2004,Suburban,Fair,Yes,505677
60,3939,3,5,2,2006,Rural,Fair,No,923204
61,760,5,4,2,1980,Urban,Good,No,669921
62,2406,4,2,2,2007,Downtown,Poor,No,805127
63,3912,6,2,2,1988,Rural,Excellent,Yes,1017643
64,4111,2,4,1,1983,Urban,Excellent,No,1097237
65,4324,3,3,2,1997,Downtown,Good,Yes,1278824
66,758,6,5,1,2002,Suburban,Poor,Yes,525177
67,2625,2,1,3,1989,Suburban,Fair,No,621218
68,2385,4,3,2,1990,Rural,Fair,No,596793
69,810,3,5,3,2004,Downtown,Fair,Yes,777880
70,1434,6,3,3,2018,Rural,Poor,No,568157
71,4109,6,3,1,2012,Urban,Poor,No,1033256
72,1464,4,3,3,2009,Suburban,Excellent,Yes,840266
73,2812,5,5,2,2009,Downtown,Good,No,1114517
74,1309,3,4,1,2009,Downtown,Good,Yes,864194
75,3262,2,4,1,2002,Urban,Good,No,935401
76,683,5,2,1,1995,Downtown,Excellent,Yes,804237
77,4620,4,1,1,1998,Suburban,Excellent,Yes,1126435
78,3623,4,5,3,2002,Downtown,Good,No,1256008
79,2819,3,3,1,1987,Suburban,Good,Yes,811222
80,2169,2,4,2,2017,Urban,Poor,Yes,747534
81,2463,3,2,2,1980,Suburban,Good,Yes,729081
82,2993,6,2,3,2011,Rural,Poor,No,742509
83,4521,4,3,1,1983,Urban,Excellent,Yes,1202509
84,3882,4,1,3,2020,Rural,Fair,Yes,885514
85,1297,2,1,3,2006,Suburban,Excellent,No,632093
86,3035,5,4,2,2016,Rural,Poor,Yes,785734
87,2767,6,1,1,1995,Suburban,Poor,Yes,664365
88,3946,4,5,2,1998,Rural,Fair,No,925626
89,4319,1,2,2,2020,Suburban,Excellent,Yes,1088521
90,1820,3,2,1,1983,Suburban,Good,No,609860
91,1618,4,3,3,2005,Urban,Excellent,No,819953
92,926,4,3,3,1996,Rural,Poor,Yes,400989
93,2807,5,1,1,2010,Downtown,Good,Yes,1019947
94,4628,1,4,2,2006,Urban,Good,Yes,1178139
95,3301,4,4,2,2022,Downtown,Poor,No,990387
96,3176,3,3,1,2005,Rural,Excellent,No,807424
97,2136,5,3,3,2011,Downtown,Poor,Yes,901723
98,1673,3,4,3,2011,Rural,Poor,Yes,555343
99,3145,5,1,3,2006,Rural,Fair,Yes,807507
100,1562,6,2,2,1998,Urban,Excellent,No,839784
101,2596,4,5,1,2004,Suburban,Fair,Yes,836228
102,3999,3,5,2,1980,Urban,Good,No,1089131
103,4258,5,4,2,2001,Downtown,Excellent,No,1342137
104,2556,5,4,1,2006,Rural,Good,No,776588
105,3762,6,2,2,1982,Suburban,Good,Yes,1045401
106,1416,5,4,1,1989,Downtown,Fair,Yes,832457
107,2771,3,5,3,2005,Rural,Good,No,843100
108,4597,5,1,3,1984,Suburban,Good,Yes,1093011
109,4155,1,1,2,1990,Urban,Poor,Yes,876791
110,1059,3,3,2,2007,Suburban,Fair,No,489355
111,1992,2,1,3,2004,Suburban,Excellent,Yes,752873
112,4377,6,3,2,1996,Rural,Excellent,No,1089371
113,1205,4,3,3,1999,Downtown,Good,No,811924
114,2231,4,4,1,1995,Downtown,Good,No,929991
115,779,6,4,2,1980,Rural,Excellent,No,592917
116,3486,2,2,3,1996,Suburban,Poor,Yes,804962
117,4211,1,5,2,1988,Rural,Good,No,964455
118,2038,2,2,3,2003,Urban,Fair,No,706066
119,3017,6,3,1,2009,Rural,Fair,Yes,819154
120,3596,1,4,1,1996,Rural,Excellent,No,869782
121,3721,6,3,1,2023,Suburban,Excellent,Yes,1148937
122,2413,6,1,3,2009,Urban,Excellent,Yes,977805
123,971,1,3,2,1987,Rural,Fair,Yes,399935
